design,criteria,material,response
kitchen utensil grip,lightweight,steel,6
kitchen utensil grip,lightweight,aluminium,8
kitchen utensil grip,lightweight,titanium,9
kitchen utensil grip,lightweight,glass,23
kitchen utensil grip,lightweight,wood,9
kitchen utensil grip,lightweight,thermoplastic,9
kitchen utensil grip,lightweight,elastomer,9
kitchen utensil grip,lightweight,thermoset,9
kitchen utensil grip,lightweight,composite,9
kitchen utensil grip,heat resistant,steel,7
kitchen utensil grip,heat resistant,aluminium,2
kitchen utensil grip,heat resistant,titanium,7
kitchen utensil grip,heat resistant,glass,2
kitchen utensil grip,heat resistant,wood,3
kitchen utensil grip,heat resistant,thermoplastic,8
kitchen utensil grip,heat resistant,elastomer,9
kitchen utensil grip,heat resistant,thermoset,9
kitchen utensil grip,heat resistant,composite,10
kitchen utensil grip,corrosion resistant,steel,9
kitchen utensil grip,corrosion resistant,aluminium,5
kitchen utensil grip,corrosion resistant,titanium,9
kitchen utensil grip,corrosion resistant,glass,8
kitchen utensil grip,corrosion resistant,wood,3
kitchen utensil grip,corrosion resistant,thermoplastic,9
kitchen utensil grip,corrosion resistant,elastomer,9
kitchen utensil grip,corrosion resistant,thermoset,9
kitchen utensil grip,corrosion resistant,composite,9
kitchen utensil grip,high strength,steel,8
kitchen utensil grip,high strength,aluminium,7
kitchen utensil grip,high strength,titanium,9
kitchen utensil grip,high strength,glass,2
kitchen utensil grip,high strength,wood,5
kitchen utensil grip,high strength,thermoplastic,8
kitchen utensil grip,high strength,elastomer,9
kitchen utensil grip,high strength,thermoset,8
kitchen utensil grip,high strength,composite,9
spacecraft component,lightweight,steel,4
spacecraft component,lightweight,aluminium,9
spacecraft component,lightweight,titanium,9
spacecraft component,lightweight,glass,6
spacecraft component,lightweight,wood,2
spacecraft component,lightweight,thermoplastic,8
spacecraft component,lightweight,elastomer,8
spacecraft component,lightweight,thermoset,8
spacecraft component,lightweight,composite,10
spacecraft component,heat resistant,steel,5
spacecraft component,heat resistant,aluminium,5
spacecraft component,heat resistant,titanium,8
spacecraft component,heat resistant,glass,8
spacecraft component,heat resistant,wood,1
spacecraft component,heat resistant,thermoplastic,8
spacecraft component,heat resistant,elastomer,5
spacecraft component,heat resistant,thermoset,8
spacecraft component,heat resistant,composite,9
spacecraft component,corrosion resistant,steel,7
spacecraft component,corrosion resistant,aluminium,7
spacecraft component,corrosion resistant,titanium,9
spacecraft component,corrosion resistant,glass,9
spacecraft component,corrosion resistant,wood,1
spacecraft component,corrosion resistant,thermoplastic,9
spacecraft component,corrosion resistant,elastomer,8
spacecraft component,corrosion resistant,thermoset,9
spacecraft component,corrosion resistant,composite,9
spacecraft component,high strength,steel,9
spacecraft component,high strength,aluminium,9
spacecraft component,high strength,titanium,9
spacecraft component,high strength,glass,2
spacecraft component,high strength,wood,2
spacecraft component,high strength,thermoplastic,8
spacecraft component,high strength,elastomer,3
spacecraft component,high strength,thermoset,9
spacecraft component,high strength,composite,9
underwater component,lightweight,steel,3
underwater component,lightweight,aluminium,9
underwater component,lightweight,titanium,9
underwater component,lightweight,glass,3
underwater component,lightweight,wood,6
underwater component,lightweight,thermoplastic,8
underwater component,lightweight,elastomer,8
underwater component,lightweight,thermoset,5
underwater component,lightweight,composite,9
underwater component,heat resistant,steel,6
underwater component,heat resistant,aluminium,5
underwater component,heat resistant,titanium,9
underwater component,heat resistant,glass,8
underwater component,heat resistant,wood,1
underwater component,heat resistant,thermoplastic,7
underwater component,heat resistant,elastomer,7
underwater component,heat resistant,thermoset,8
underwater component,heat resistant,composite,9
underwater component,corrosion resistant,steel,5
underwater component,corrosion resistant,aluminium,8
underwater component,corrosion resistant,titanium,9
underwater component,corrosion resistant,glass,8
underwater component,corrosion resistant,wood,3
underwater component,corrosion resistant,thermoplastic,9
underwater component,corrosion resistant,elastomer,8
underwater component,corrosion resistant,thermoset,9
underwater component,corrosion resistant,composite,9
underwater component,high strength,steel,8
underwater component,high strength,aluminium,7
underwater component,high strength,titanium,9
underwater component,high strength,glass,3
underwater component,high strength,wood,2
underwater component,high strength,thermoplastic,7
underwater component,high strength,elastomer,7
underwater component,high strength,thermoset,9
underwater component,high strength,composite,9
safety helmet,lightweight,steel,3
safety helmet,lightweight,aluminium,8
safety helmet,lightweight,titanium,8
safety helmet,lightweight,glass,2
safety helmet,lightweight,wood,2
safety helmet,lightweight,thermoplastic,8
safety helmet,lightweight,elastomer,8
safety helmet,lightweight,thermoset,9
safety helmet,lightweight,composite,10
safety helmet,heat resistant,steel,5
safety helmet,heat resistant,aluminium,7
safety helmet,heat resistant,titanium,8
safety helmet,heat resistant,glass,2
safety helmet,heat resistant,wood,2
safety helmet,heat resistant,thermoplastic,8
safety helmet,heat resistant,elastomer,8
safety helmet,heat resistant,thermoset,8
safety helmet,heat resistant,composite,8
safety helmet,corrosion resistant,steel,7
safety helmet,corrosion resistant,aluminium,9
safety helmet,corrosion resistant,titanium,9
safety helmet,corrosion resistant,glass,3
safety helmet,corrosion resistant,wood,2
safety helmet,corrosion resistant,thermoplastic,8
safety helmet,corrosion resistant,elastomer,7
safety helmet,corrosion resistant,thermoset,9
safety helmet,corrosion resistant,composite,9
safety helmet,high strength,steel,7
safety helmet,high strength,aluminium,4
safety helmet,high strength,titanium,9
safety helmet,high strength,glass,2
safety helmet,high strength,wood,2
safety helmet,high strength,thermoplastic,7
safety helmet,high strength,elastomer,3
safety helmet,high strength,thermoset,8
safety helmet,high strength,composite,9
