design,criteria,material,response
kitchen utensil grip,lightweight,steel,2
kitchen utensil grip,lightweight,aluminium,7
kitchen utensil grip,lightweight,titanium,8
kitchen utensil grip,lightweight,glass,1
kitchen utensil grip,lightweight,wood,6
kitchen utensil grip,lightweight,thermoplastic,9
kitchen utensil grip,lightweight,elastomer,8
kitchen utensil grip,lightweight,thermoset,5
kitchen utensil grip,lightweight,composite,9
kitchen utensil grip,heat resistant,steel,2
kitchen utensil grip,heat resistant,aluminium,3
kitchen utensil grip,heat resistant,titanium,4
kitchen utensil grip,heat resistant,glass,1
kitchen utensil grip,heat resistant,wood,3
kitchen utensil grip,heat resistant,thermoplastic,7
kitchen utensil grip,heat resistant,elastomer,8
kitchen utensil grip,heat resistant,thermoset,9
kitchen utensil grip,heat resistant,composite,10
kitchen utensil grip,corrosion resistant,steel,5
kitchen utensil grip,corrosion resistant,aluminium,7
kitchen utensil grip,corrosion resistant,titanium,9
kitchen utensil grip,corrosion resistant,glass,8
kitchen utensil grip,corrosion resistant,wood,4
kitchen utensil grip,corrosion resistant,thermoplastic,7
kitchen utensil grip,corrosion resistant,elastomer,6
kitchen utensil grip,corrosion resistant,thermoset,6
kitchen utensil grip,corrosion resistant,composite,8
kitchen utensil grip,high strength,steel,8
kitchen utensil grip,high strength,aluminium,6
kitchen utensil grip,high strength,titanium,9
kitchen utensil grip,high strength,glass,2
kitchen utensil grip,high strength,wood,4
kitchen utensil grip,high strength,thermoplastic,7
kitchen utensil grip,high strength,elastomer,5
kitchen utensil grip,high strength,thermoset,6
kitchen utensil grip,high strength,composite,10
spacecraft component,lightweight,steel,2
spacecraft component,lightweight,aluminium,7
spacecraft component,lightweight,titanium,8
spacecraft component,lightweight,glass,3
spacecraft component,lightweight,wood,1
spacecraft component,lightweight,thermoplastic,6
spacecraft component,lightweight,elastomer,4
spacecraft component,lightweight,thermoset,5
spacecraft component,lightweight,composite,9
spacecraft component,heat resistant,steel,7
spacecraft component,heat resistant,aluminium,4
spacecraft component,heat resistant,titanium,8
spacecraft component,heat resistant,glass,6
spacecraft component,heat resistant,wood,1
spacecraft component,heat resistant,thermoplastic,3
spacecraft component,heat resistant,elastomer,2
spacecraft component,heat resistant,thermoset,5
spacecraft component,heat resistant,composite,9
spacecraft component,corrosion resistant,steel,4
spacecraft component,corrosion resistant,aluminium,7
spacecraft component,corrosion resistant,titanium,9
spacecraft component,corrosion resistant,glass,8
spacecraft component,corrosion resistant,wood,1
